Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.613590956,4.074573994,9.409157753,14.73850632,20.06496811,25.39089394,30.71869087,89.5,71.5,97.69999695
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.038899898,0.037322959,0.049219876,0.05381762,0.043925733,0.063577848,0.069338674,0.149150528,0.176179957,0.153120981
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994,1.852781994
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,2110,2150,2040
Afghanistan,AFG,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,47.8,45.6,40.6,38,36.1,33.3,20.7,21.5,22.2
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,68.7,62.42,75.75,77.83,75.77,84.68,78.42,101.67,95.99,102.34
Afghanistan,AFG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Afghanistan,AFG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.534,7.446,7.339,7.22,7.069,6.905,6.722,5.56,5.405,5.262
Afghanistan,AFG,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,46.0584,45.43273,46.6585
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,..,..,..,..,..,25.78,..,..
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,27.30923695,27.30923695,27.71084337,27.71084337,27.71084337
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,28.17141501,28.19936611,30.23638459,32.27372204,34.32855936,36.40150061,38.47545989,58.65937353,61.33978081,64.0548831
Afghanistan,AFG,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,7.38,..,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.078,22.169,22.261,22.353,22.5,22.703,22.907,24.587,24.803,25.02
Afghanistan,AFG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..,..,63.6,69.68829,..,72.12863
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,29.96332889,30.18663968,32.19762354,34.71954679,36.11233921,37.42727412,39.00915935,50.16054153,51.75091455,53.10428376
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,2.431257869,1.992065699,1.896233996,1.298012878,0.994575823,0.956772141
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.298,55.798,56.454,57.344,57.944,58.361,58.684,62.545,62.659,63.136
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,99.94999695,99.98000336,99.88999939
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.024947338,1.056868354,1.233001531,1.337603171,1.403827431,1.33933834,1.341532815,1.668475763,1.603809903,1.556656042
